uid,City Quadrant,Ward,Household Income,Household Tenancy,Highest Obtained Education,Average Age,Living with Children,Member of Visible Minority,Gender,Average Quality of Life Rating (1-10),"Change in Quality of Life in Last 3 Years ( 1 = improved, 2 = no change, 3 = worsen)",Average Living in Calgary Rating (1-10),Average Life in Cangary Rating (1-10),Average Neighbourhood Safety Rating (1-4)
wIT47bdK,Northwest,Ward 1,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,77,No,No,Male,6,3,6,6,2
wNA94wgR,Northwest,Ward 2,Don't Know,Own,Some post secondary or college diploma,63,No,No,Male,5,3,6,6,3
nIC42orI,Northwest,Ward 1,"$75,000 to just under $90,000",Rent,Some post secondary or college diploma,31,No,Yes,Male,8,2,7,8,3
eWL64vuH,Northwest,Ward 10,"$45,000 to just under $60,000",Own,Completed high school or less,71,No,No,Female,8,2,10,10,1
cRE95jjS,Northwest,Ward 1,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,44,Yes,No,Female,7,2,6,7,4
eZQ30cgD,Northwest,Ward 4,Don't Know,Own,Some post secondary or college diploma,56,No,No,Male,8,2,10,10,3
iXY90vhO,Northwest,Ward 4,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,86,No,No,Male,9,2,7,9,4
zYL24wlC,Northeast,Ward 10,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,70,No,No,Male,8,2,6,8,2
fHK57hoT,Southeast,Ward 9,"$120,000 and over (Net)",Own,Completed high school or less,18,No,No,Male,8,1,7,7,2
eNK27qxL,Northwest,Ward 1,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,43,Yes,Yes,Female,8,1,8,8,4
zCS37mnN,Northwest,Ward 1,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,70,No,No,Male,8,1,8,9,4
vOQ96mmD,Northwest,Ward 4,Don't Know,Own,Completed high school or less,76,No,No,Male,7,3,7,5,3
xDF72qcY,Northwest,Ward 1,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,73,No,No,Female,6,3,8,7,3
wJU37ezQ,Northwest,Ward 1,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,71,No,No,Female,8,2,9,9,3
qHS27rdC,Northwest,Ward 1,Don't Know,Own,Some post secondary or college diploma,61,No,Don't Know,Female,7,4,7,7,2
aQV29puO,Northwest,Ward 2,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,68,No,No,Male,10,1,8,8,4
qTF97ceB,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,43,Yes,No,Male,9,3,10,9,4
oOA89rwN,Northwest,Ward 2,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,59,No,No,Male,8,3,1,5,4
zOS22urV,Northwest,Ward 2,"$120,000 and over (Net)",Own,Some post secondary or college diploma,64,No,No,Female,8,3,7,8,2
qAV50wnI,Northwest,Ward 1,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,61,No,No,Female,8,3,6,9,3
hCW30mxW,Northwest,Ward 4,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,71,No,Yes,Male,7,3,6,7,4
wHW69iuZ,Northwest,Ward 4,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,60,No,Yes,Male,7,3,6,8,3
jXN51ahY,Northeast,Ward 4,Don't Know,Own,Completed university degree or post-grad degree,44,No,No,Female,8,2,6,7,3
xKZ37fqX,Northwest,Ward 2,Don't Know,Rent,Some post secondary or college diploma,,No,Don't Know,Male,5,3,5,5,3
gTV77gdR,Northeast,Ward 3,"$120,000 and over (Net)",Own,Completed high school or less,62,No,No,Male,8,3,7,7,3
jJA71utW,Northwest,Ward 1,"$30,000 to just under $45,000",Own,Completed high school or less,66,No,No,Female,8,3,3,10,3
jKN93apC,Northeast,Ward 10,"$30,000 to just under $45,000",Rent,Some post secondary or college diploma,32,Yes,Yes,Male,8,1,9,10,4
hUW32gvI,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,34,Yes,No,Male,7,2,7,8,4
kAW92cjC,Northwest,Ward 7,"$105,000 to just under $120,000",Rent,Completed university degree or post-grad degree,28,No,No,Female,8,2,7,9,4
jOF35djT,Northwest,Ward 2,"$105,000 to just under $120,000",Rent,Some post secondary or college diploma,23,No,No,Male,8,2,8,8,3
fVS55uyH,Northwest,Ward 7,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,35,No,No,Male,9,2,7,8,4
uDG63xrJ,Northwest,Ward 2,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,67,No,No,Male,5,2,6,4,3
aUH87rfY,Northwest,Ward 4,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,67,No,Don't Know,Male,8,2,7,,4
xOK41epS,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,42,Yes,No,Male,8,2,9,9,4
bAG59zsN,Northwest,Ward 4,Don't Know,Own,Completed university degree or post-grad degree,60,No,No,Male,8,3,4,8,4
vEU35amM,Northwest,Ward 1,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,63,No,No,Male,5,3,5,5,2
yPN68bzN,Northwest,Ward 1,"$45,000 to just under $60,000",Rent,Completed high school or less,82,No,No,Female,10,2,10,10,4
cRO87ltG,Northwest,Ward 3,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,56,No,No,Male,8,2,8,8,4
pRW73ekD,Northwest,Ward 1,"$120,000 and over (Net)",Own,Completed high school or less,47,No,No,Male,8,2,8,8,3
zKJ66yvT,Northwest,Ward 2,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,33,No,No,Female,7,1,8,8,4
zXD27hdN,Northwest,Ward 2,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,66,No,No,Female,8,2,7,10,3
uKH16nfH,Northwest,Ward 1,Don't Know,Own,Some post secondary or college diploma,78,No,No,Female,7,3,9,9,3
kOF93lpH,Southwest,Ward 8,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,61,Yes,No,Male,10,1,10,10,3
xOF99dvV,Northwest,Ward 1,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,59,No,No,Male,6,2,6,6,3
zHO46zaJ,Northwest,Ward 4,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,71,No,No,Male,8,3,5,7,4
bBC88yjC,Northwest,Ward 1,"Less than $30,000",Own,Some post secondary or college diploma,62,No,No,Female,8,2,6,7,3
wHH16yfQ,Northwest,Ward 2,"$120,000 and over (Net)",Own,Some post secondary or college diploma,53,No,No,Female,8,2,8,8,3
yUI22rnS,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,47,Yes,No,Female,9,2,8,9,4
iGB40vkG,Southwest,Ward 13,"Less than $30,000",Own,Some post secondary or college diploma,57,No,No,Male,7,2,4,6,3
hJZ19gwK,Northwest,Ward 1,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,57,No,No,Female,10,2,10,10,4
rLB18vwI,Northwest,Ward 2,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,53,No,No,Female,8,2,8,10,4
aXZ69dvI,Northeast,Ward 10,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,79,No,Yes,Male,5,3,5,7,4
cVH19ivY,Northwest,Ward 1,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,50,No,No,Female,7,3,7,7,4
eDN51ryY,Northeast,Ward 5,"Less than $30,000",Own,Some post secondary or college diploma,45,Yes,Yes,Female,8,2,6,8,2
nJZ38ntV,Southeast,Ward 9,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,20,Yes,Yes,Male,7,1,3,8,2
cPT30nsX,Northeast,Ward 5,Don't Know,Own,Some post secondary or college diploma,68,Yes,Yes,Female,5,3,4,5,2
vOX21htW,Southeast,Ward 13,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,58,No,No,Male,8,2,9,6,4
uHB68pjT,Southeast,Ward 11,"$120,000 and over (Net)",Own,Some post secondary or college diploma,50,No,No,Female,9,2,7,8,3
jIF98zwC,Southwest,Ward 8,"$30,000 to just under $45,000",Rent,Completed high school or less,32,Yes,Yes,Male,8,2,8,8,3
cTO20chG,Southwest,Ward 11,Don't Know,Own,Completed university degree or post-grad degree,53,Yes,No,Female,8,2,9,10,3
zRL21ivP,Southeast,Ward 14,"$120,000 and over (Net)",Neither,Completed high school or less,20,Yes,No,Male,8,2,10,10,4
yLB21trN,Northeast,Ward 5,Don't Know,Neither,Some post secondary or college diploma,21,Yes,Yes,Female,6,2,8,8,2
cKN58utZ,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,32,No,Yes,Male,6,3,10,8,2
bTS32idD,Northeast,Ward 10,"$45,000 to just under $60,000",Own,Completed high school or less,65,No,Yes,Male,7,2,10,10,3
jUH32bnN,Southwest,Ward 8,"Less than $30,000",Other,Some post secondary or college diploma,59,No,No,Female,9,1,10,10,3
eVH53cvC,Southwest,Ward 13,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,58,No,No,Female,8,2,8,9,4
fVC20lgW,Southwest,Ward 13,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,68,No,No,Male,6,3,6,6,3
fJA24fgC,Northeast,Ward 10,"$90,000 to just under $105,000",Own,Completed high school or less,56,No,No,Female,4,2,2,5,3
xUK85kqI,Northeast,Ward 10,Don't Know,Own,Completed high school or less,79,No,No,Male,5,3,6,6,2
jPD36elB,Southeast,Ward 14,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,55,No,No,Male,7,3,10,10,3
gBP63eoR,Northeast,Ward 5,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,40,No,Yes,Male,10,1,8,8,3
xLU61paW,Northeast,Ward 10,"Less than $30,000",Own,Completed high school or less,70,No,Yes,Male,6,3,5,5,4
jYZ55uuU,Southeast,Ward 10,"$45,000 to just under $60,000",Rent,Completed high school or less,77,No,No,Female,7,2,4,4,1
pDH12wvW,Northwest,Ward 4,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,55,Yes,No,Female,7,3,7,8,3
lKC44qcH,Northeast,Ward 10,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,68,No,No,Female,8,1,8,9,3
aQV90frB,Southeast,Ward 12,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,76,Yes,No,Female,8,1,8,8,3
uGS21qyP,Southwest,Ward 8,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,56,No,No,Female,8,2,8,8,3
oIT85yvQ,Southwest,Ward 6,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,41,Yes,No,Female,5,3,8,9,3
xWS83flJ,Northwest,Ward 7,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,51,Yes,Yes,Female,8,2,8,7,3
gHR83wfY,Northwest,Ward 2,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,55,Yes,No,Female,7,3,7,7,3
sUT91sqL,Northwest,Ward 2,"Less than $30,000",Own,Completed university degree or post-grad degree,65,No,Yes,Female,10,3,8,10,3
qWH64iyP,Northeast,Ward 10,"$30,000 to just under $45,000",Own,Completed high school or less,73,No,No,Male,8,2,7,8,4
pMB10uuH,Southeast,Ward 9,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,36,Yes,No,Female,8,2,8,8,3
rID53xrG,Northeast,Ward 5,"$60,000 to just under $75,000",Own,Completed high school or less,71,No,Yes,Female,5,3,4,4,3
wFW79udR,Northeast,Ward 10,"$45,000 to just under $60,000",Own,Completed high school or less,20,No,No,Male,9,2,10,9,3
kKW83ofA,Northeast,Ward 4,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,47,Yes,Yes,Male,8,3,8,8,2
aZO86pyL,Southwest,Ward 8,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,35,No,No,Female,8,2,6,8,4
iLH90ivO,Northeast,Ward 10,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,56,Yes,No,Female,7,2,8,8,3
lYQ68wjT,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,73,No,Yes,Female,7,2,9,9,3
jRI26qbL,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,20,Yes,Yes,Male,8,1,5,5,3
aZI29ftP,Southwest,Ward 6,"$90,000 to just under $105,000",Own,Completed high school or less,34,No,No,Male,8,3,5,5,2
hEU14ycE,Northwest,Ward 1,"$120,000 and over (Net)",Own,Some post secondary or college diploma,67,No,No,Male,8,1,8,9,4
kOG61ifZ,Northeast,Ward 10,"Less than $30,000",Own,Completed high school or less,72,No,No,Female,5,3,10,5,1
bWV20syU,Northeast,Ward 10,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,72,No,No,Female,8,2,10,10,3
gFP20zgC,Northeast,Ward 10,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,63,No,No,Male,6,2,6,6,3
mCN45piA,Northeast,Ward 3,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,62,No,No,Male,8,2,8,8,4
yYW21ykU,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,56,No,Yes,Female,2,3,5,2,1
eFS12khE,Southwest,Ward 6,"$120,000 and over (Net)",Own,Some post secondary or college diploma,55,Yes,Yes,Male,5,3,4,6,3
eZF34qlO,Northeast,Ward 10,"$60,000 to just under $75,000",Own,Completed high school or less,55,No,Yes,Female,6,3,5,6,2
kKP73jxQ,Northeast,Ward 10,"$105,000 to just under $120,000",Own,Some post secondary or college diploma,50,Yes,No,Female,8,2,8,8,3
uIK82vmD,Northeast,Ward 10,"Less than $30,000",Own,Completed high school or less,41,Yes,Yes,Female,8,3,8,8,2
uXR79luM,Northeast,Ward 10,"$120,000 and over (Net)",Rent,Completed university degree or post-grad degree,64,No,No,Female,7,3,7,7,3
bUS89apQ,Northeast,Ward 7,"$120,000 and over (Net)",Own,Some post secondary or college diploma,45,Yes,No,Male,7,3,6,7,3
vYH98mwH,Northeast,Ward 5,"Less than $30,000",Own,Some post secondary or college diploma,59,No,No,Female,7,2,7,7,1
qRP13cgU,Southwest,Ward 8,"Less than $30,000",Rent,Completed university degree or post-grad degree,56,No,No,Female,7,2,7,8,2
bKH70jlC,Northeast,Ward 10,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,60,No,No,Male,5,3,6,6,3
yLS45ptQ,Northeast,Ward 10,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,59,No,Yes,Male,6,2,5,7,3
nJV15roL,Northeast,Ward 5,"Less than $30,000",Rent,Completed high school or less,68,No,No,Female,8,2,9,9,3
tBQ36qmB,Northeast,Ward 10,Don't Know,Own,Some post secondary or college diploma,63,No,Yes,Male,7,2,9,9,3
xDT63qlR,Northeast,Ward 10,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,51,No,No,Female,6,3,4,8,3
dXS98ceS,Northeast,Ward 10,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,53,Yes,Yes,Male,10,3,1,1,1
dKS30qsJ,Northwest,Ward 2,Don't Know,Own,Completed high school or less,,No,No,Male,8,2,8,8,4
aWU43thE,Northeast,Ward 10,Don't Know,Own,Completed university degree or post-grad degree,38,Yes,No,Male,9,1,7,8,4
eHM13niW,Northwest,Ward 1,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,70,No,No,Male,8,1,6,6,4
tFY16zqN,Southwest,Ward 13,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,60,No,Yes,Female,7,2,8,8,3
mAS74gmH,Northeast,Ward 5,Don't Know,Own,Some post secondary or college diploma,59,No,No,Female,7,1,5,7,1
mHV90rtW,Northeast,Ward 5,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,63,No,No,Female,6,2,5,7,1
sQQ86dpE,Northeast,Ward 5,"$90,000 to just under $105,000",Other,Completed university degree or post-grad degree,23,Yes,Yes,Male,9,2,9,9,3
fLD44caZ,Northeast,Ward 5,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,28,No,Yes,Female,8,1,10,10,3
uIB25frN,Northwest,Ward 2,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,55,Yes,No,Male,7,3,9,9,4
hZP93rrZ,Southeast,Ward 12,"Less than $30,000",Own,Completed university degree or post-grad degree,45,Yes,No,Male,7,3,8,8,3
iBY62qkI,Northeast,Ward 10,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,35,Yes,Yes,Male,8,2,7,7,4
cUX78ozF,Northeast,Ward 10,"$30,000 to just under $45,000",Own,Completed high school or less,77,No,Yes,Male,9,2,10,10,4
oPJ56ojC,Northeast,Ward 5,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,22,Yes,No,Female,10,1,9,9,4
nRO65pjA,Northeast,Ward 10,Don't Know,Own,Completed university degree or post-grad degree,67,No,Yes,Male,3,3,6,8,2
nCI79rtW,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,41,No,Yes,Male,9,2,10,9,4
dCL80zgG,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,57,No,No,Female,7,3,2,3,1
bMS71xqN,Northeast,Ward 10,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,66,Yes,Yes,Male,7,3,7,6,2
rGS63fpF,Northeast,Ward 10,"$75,000 to just under $90,000",Own,Completed high school or less,54,No,Yes,Female,5,3,3,3,1
dXH14vwH,Northwest,Ward 2,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,59,No,No,Female,5,3,3,4,2
sBR42utD,Northeast,Ward 10,Don't Know,Own,Completed university degree or post-grad degree,63,No,No,Female,9,1,8,9,3
kTC76enX,Northwest,Ward 3,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,74,No,No,Male,9,2,6,6,1
rNL98zrE,Northwest,Ward 1,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,74,No,No,Male,6,3,10,5,4
mGE13gzH,Northeast,Ward 10,Don't Know,Own,Completed high school or less,71,No,Yes,Female,7,3,5,5,1
pBO85cdQ,Northeast,Ward 10,"$30,000 to just under $45,000",Own,Completed high school or less,66,Yes,No,Male,8,3,7,8,3
bER29npG,Northeast,Ward 10,"$105,000 to just under $120,000",Own,Some post secondary or college diploma,41,No,No,Male,8,2,9,9,3
gNU94osD,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,50,Yes,Yes,Male,8,3,9,9,1
mME86pwE,Northwest,Ward 2,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,47,Yes,Yes,Male,5,3,7,6,3
rAF80neL,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,51,Yes,No,Female,8,3,8,8,3
gYY91rgC,Northeast,Ward 5,Don't Know,Own,Some post secondary or college diploma,59,No,No,Male,6,3,5,5,3
rOM63gfM,Northwest,Ward 1,"$120,000 and over (Net)",Own,Some post secondary or college diploma,61,No,No,Female,8,3,3,8,3
yWD92ioD,Northeast,Ward 10,"$75,000 to just under $90,000",Own,Completed high school or less,34,No,No,Female,8,1,3,7,4
jNV51qtO,Northeast,Ward 5,"Less than $30,000",Own,Completed high school or less,42,Yes,Don't Know,Female,10,1,9,9,4
oPB38ehC,Northeast,Ward 10,"$120,000 and over (Net)",Rent,Some post secondary or college diploma,58,No,No,Male,9,2,8,8,3
wAE69koY,Northeast,Ward 10,Don't Know,Own,Some post secondary or college diploma,73,No,No,Female,5,2,5,5,3
tJU24vzB,Northeast,Ward 10,Don't Know,Own,Some post secondary or college diploma,67,No,Yes,Female,8,2,9,8,1
aYD13uaN,Northwest,Ward 2,"$90,000 to just under $105,000",Own,Completed high school or less,18,Yes,No,Male,8,2,5,6,4
zNB65xgX,Southwest,Ward 11,"$90,000 to just under $105,000",Rent,Some post secondary or college diploma,67,No,No,Male,8,3,8,8,3
fAY56jvB,Northeast,Ward 10,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,59,No,Yes,Male,7,3,5,5,2
jQN97cwX,Northeast,Ward 10,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,34,Yes,Yes,Female,8,1,9,9,3
vZT73sdA,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,44,Yes,No,Female,6,3,8,8,2
dLV53nuT,Northeast,Ward 10,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,63,No,No,Female,8,3,7,8,3
bAE38gbJ,Northeast,Ward 5,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,40,Yes,Yes,Male,6,3,6,6,3
fSO35apB,Northeast,Ward 5,"$120,000 and over (Net)",Own,Completed high school or less,58,No,No,Female,5,2,1,10,1
bDS19anK,Northwest,Ward 1,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,58,No,No,Male,7,2,7,8,3
kGM83zqL,Northeast,Ward 10,Don't Know,Own,Completed high school or less,61,No,No,Female,8,1,10,10,3
rJZ17wzO,Southwest,Ward 13,"$105,000 to just under $120,000",Own,Completed high school or less,34,Yes,No,Female,8,2,3,5,3
dXE31abS,Southeast,Ward 14,"$30,000 to just under $45,000",Rent,Completed high school or less,58,No,No,Female,7,3,7,8,3
sTB48dbK,Northeast,Ward 5,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,43,Yes,Yes,Male,8,2,10,10,4
qGE25rxZ,Northwest,Ward 3,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,49,No,No,Male,5,3,5,5,4
dRA35nsD,Northeast,Ward 10,"Less than $30,000",Own,Completed high school or less,67,No,No,Male,7,2,5,8,4
cWQ75zqO,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,50,Yes,Yes,Female,5,2,5,5,1
nNO23mtN,Northwest,Ward 7,"$120,000 and over (Net)",Rent,Some post secondary or college diploma,55,No,Yes,Female,6,3,4,7,1
lRP68mwI,Northeast,Ward 3,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,53,Yes,No,Female,5,3,4,5,3
vKS41spN,Northeast,Ward 10,"$120,000 and over (Net)",Own,Completed high school or less,52,Yes,No,Female,5,3,9,9,1
nWO16bkJ,Northeast,Ward 10,"$60,000 to just under $75,000",Own,Completed high school or less,60,No,Yes,Male,7,3,7,7,3
zYU90lmT,Northeast,Ward 10,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,29,Yes,Yes,Female,7,3,7,7,2
lAH34ykB,Southwest,Ward 6,Don't Know,Own,Some post secondary or college diploma,66,No,No,Female,7,3,4,7,2
aEW93nqP,Northeast,Ward 10,"Less than $30,000",Own,Some post secondary or college diploma,53,No,No,Female,8,3,5,7,3
eNM54zgK,Northeast,Ward 10,"$120,000 and over (Net)",Own,Some post secondary or college diploma,62,No,No,Male,8,3,6,8,3
wDE60caH,Northeast,Ward 10,"Less than $30,000",Own,Completed high school or less,67,Yes,Yes,Male,5,2,7,7,3
cRF20fzO,Southwest,Ward 6,Don't Know,Own,Some post secondary or college diploma,74,No,No,Female,8,2,7,8,3
kYM47mwX,Northwest,Ward 5,Don't Know,Rent,Completed university degree or post-grad degree,24,No,Yes,Male,10,1,10,10,4
vKE37dkC,Northeast,Ward 10,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,68,No,Yes,Male,8,3,8,8,3
jNW13umK,Northeast,Ward 10,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,,No,No,Male,7,3,5,5,3
eXY23ndQ,Northeast,Ward 10,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,19,Yes,No,Male,7,2,5,6,3
dDN35iqW,Northeast,Ward 5,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,45,Yes,No,Male,7,3,6,5,3
aCY70swA,Northeast,Ward 10,Don't Know,Rent,Some post secondary or college diploma,31,No,Yes,Male,10,3,10,10,4
kWB75nxZ,Southwest,Ward 1,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,35,No,No,Male,8,3,9,9,4
rSD13yyK,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,53,Yes,Yes,Female,9,3,10,10,2
iTT10lbM,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,42,Yes,No,Female,9,1,10,10,4
mUC94bnR,Northwest,Ward 4,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,54,No,No,Female,10,2,8,8,4
tMB90pgK,Northwest,Ward 7,Don't Know,Own,Completed university degree or post-grad degree,66,No,No,Female,8,2,6,7,3
lYR95wsJ,Southeast,Ward 9,"$75,000 to just under $90,000",Own,Completed high school or less,61,No,No,Male,7,3,6,6,4
sBT84zdA,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Completed high school or less,77,No,Yes,Male,8,2,7,7,3
yBJ88alO,Northeast,Ward 5,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,58,No,No,Male,8,2,8,8,3
gNG21asH,Northwest,Ward 1,"$120,000 and over (Net)",Own,Some post secondary or college diploma,40,Yes,No,Female,8,2,6,6,3
oJD53pcT,Northwest,Ward 1,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,49,Yes,No,Male,9,2,8,8,3
zFI63rhW,Northeast,Ward 10,"$75,000 to just under $90,000",Own,Completed high school or less,79,No,No,Male,8,3,5,7,3
tIK98vcO,Northeast,Ward 10,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,25,No,Yes,Male,7,2,6,7,3
wMP85yeQ,Northeast,Ward 3,"$120,000 and over (Net)",Own,Some post secondary or college diploma,51,Yes,No,Male,8,3,7,8,2
rHN24abP,Southeast,Ward 12,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,51,No,No,Female,8,2,8,10,3
lGT93ztZ,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,44,Yes,Yes,Male,9,2,9,9,3
gCJ84gyW,Northeast,Ward 7,"Less than $30,000",Rent,Completed university degree or post-grad degree,62,No,No,Female,8,1,6,8,2
iIX69xkM,Northeast,Ward 5,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,55,Yes,Don't Know,Male,10,1,8,8,3
pNJ52mfP,Northwest,Ward 10,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,55,No,Yes,Male,8,2,10,10,3
iFJ84izB,Northeast,Ward 10,"$120,000 and over (Net)",Own,Some post secondary or college diploma,68,No,Yes,Male,9,1,7,9,3
hLL28caL,Northeast,Ward 10,"$30,000 to just under $45,000",Own,Completed high school or less,83,No,No,Female,7,2,4,6,2
uVM36gwV,Northeast,Ward 5,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,30,Yes,Yes,Female,8,2,8,8,3
lDH12jbZ,Northwest,Ward 2,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,,Yes,No,Female,6,2,6,,3
mWY65llW,Southwest,Ward 11,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,50,Yes,No,Female,8,2,4,9,2
cOD94joV,Northeast,Ward 10,"$105,000 to just under $120,000",Own,Completed high school or less,65,No,Yes,Female,8,1,8,8,3
iVF95tjW,Southeast,Ward 14,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,31,Yes,No,Female,10,2,10,8,2
wVO92gqV,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,44,No,No,Female,5,3,2,4,1
uQJ16cjE,Southwest,Ward 6,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,57,No,No,Female,8,1,8,8,4
pDC13qaH,Northeast,Ward 10,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,20,No,No,Male,8,1,8,9,4
xYI91veJ,Northeast,Ward 10,"$120,000 and over (Net)",Own,Some post secondary or college diploma,61,No,No,Male,8,2,9,10,4
